id,gameTitle,subTitle,gameSystem,nowPlaying,gameStatus,gameHours,gameMinutes,addDate,startDate,beatDate,completeDate,gameNotes
117,Dance Dance Revolution SuperNOVA 2,,PS2,N,Completed,,,,,,,
118,Dance Dance Revolution X,,PS2,N,Completed,,,,,,,
119,DDRMAX: Dance Dance Revolution,,PS2,N,Mastered,,,,,,,
120,DDRMAX2: Dance Dance Revolution (JP),,PS2,N,Mastered,,,,,,,
121,Devil May Cry,,PS2,N,Beaten,6,11,,10/28/2013,10/31/2013,,
122,Devil May Cry 2,,PS2,N,Beaten,3,34,,10/31/2013,11/14/2013,,
123,DT Racer,,PS2,N,Completed,,,,,,,
124,Duel Masters,,PS2,N,Beaten,,,,,,,
125,Final Fantasy IX,,PS,N,Beaten,35,21,,,,,
126,Final Fantasy V,,PS,N,Beaten,,,,,,,
127,Final Fantasy VI,,PS,N,Beaten,28,3,,,,,
128,Final Fantasy VII,,PS,N,Beaten,30,20,,,,,
129,Final Fantasy VIII,,PS,N,Beaten,36,9,,,,,
130,Final Fantasy X,,PS2,N,Beaten,32,35,,,,,
131,Final Fantasy X-2,,PS2,N,Beaten,18,49,,,10/9/2013,,
132,Final Fantasy XII: Collector's Edition,,PS2,N,Beaten,62,43,,,,,
133,In The Groove,,PS2,N,Beaten,,,,,,,
134,Kingdom Hearts,,PS2,N,Beaten,26,58,,,5/23/2013,,
135,Kingdom Hearts II,,PS2,N,Beaten,30,37,,5/23/2013,7/25/2013,,
136,NCAA Football 06,,PS2,N,Beaten,,,,,,,
137,Sly 2: Band of Thieves,,PS2,N,Completed,11,18,,,,,
138,Sly Cooper and the Thievius Raccoonus,,PS2,N,Completed,,,,,,,
139,Spy Hunter,,PS2,N,Completed,,,,,,,
140,Star Wars Battlefront II,,PS2,N,Beaten,19,17,,,,,
141,Advance Wars: Days of Ruin,,NDS,N,Beaten,50,49,,,,,
142,Advance Wars: Dual Strike,,NDS,N,Beaten,140,58,,,,,
143,Animal Crossing: Wild World,,NDS,N,Infinite,,,,,,,
144,Big Brain Academy,,NDS,N,Completed,,,,,,,
145,Bomberman,,NDS,N,Completed,3,21,,,,,
146,Chrono Trigger,,NDS,N,Beaten,17,27,,1/8/2013,1/25/2013,,
147,Final Fantasy III,,NDS,N,Beaten,35,12,,,,,
148,Final Fantasy Tactics A2: Grimoire of the Rift,,NDS,N,Completed,108,59,,,9/3/2013,2/18/2016,
149,Golden Sun: Dark Dawn,,NDS,N,Beaten,27,40,,,,,
150,Kirby Squeak Squad,,NDS,N,Completed,,,,,,,
151,Kirby Super Star Ultra,,NDS,N,Completed,,,,,,,
